imdb_id,title,popular_rank,certificate,startYear,endYear,episodes,runtime,type,orign_country,language,plot,summary,rating,numVotes,genres,isAdult,cast,image_url
tt4052886,Lucifer,1,15,2016,,93,42,tvSeries,United States,English,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"Lucifer Morningstar, bored from his sulking life in hell, comes to live in Los Angeles. While there, he helps humanity with its miseries through his experience and telepathic abilities to bring people's deepest desires and thoughts out of them. While meeting with a Detective in his nightclub (Lux), a shootout involving him and the Detective leads him to become an LAPD consultant who tries to punish people for their crimes through law and justice. —ahmetkozan",8.1,250884.0,"Crime,Drama,Fantasy",0,"['Tom Ellis', 'Lauren German', 'Lesley-Ann Brandt', 'Kevin Alejandro', 'D.B. Woodside', 'Rachael Harris', 'Scarlett Estevez', 'Aimee Garcia', 'Tricia Helfer', 'Tom Welling', 'Inbar Lavi', 'Kevin Rankin', 'Graham McTavish', 'Dennis Haysbert', 'Genevieve Gauss', 'John Specogna', 'Jeremiah Birkett', 'Cailan Robinson']",https://m.media-amazon.com/images/M/MV5BNzY1YjIxOGMtOTAyZC00YTcyLWFhMzQtZTJkYTljYzU0MGRlXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_FMjpg_UX1000_.jpg
tt0993840,Army of the Dead,2,18,2021,,,148,movie,United States,English,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","With the abandoned, walled city of Las Vegas overrun with zombies, after a disastrous government fault, the billionaire casino magnate, Bly Tanaka, realises that he has left something in Sin City: $200 million to be more precise. For the time being, his mountains of cash are safe behind his impenetrable casino vault; however, the US President plans to nuke the entire city in less than 96 hours. Now, Tanaka is willing to pay $50 million to the decorated former mercenary, Scott Ward, and his hand-picked team to retrieve the money before the bomb obliterates the city. Indeed, this is a life-changing offer Scott cannot refuse; nevertheless, the rules have changed, and the horde of the walking undead seems to be more organised than they might have expected. But, time is running out. Can they return from Vegas in one piece and rich? —Nick Riganas",5.8,110780.0,"Action,Crime,Horror",0,"['Dave Bautista', 'Ella Purnell', 'Ana de la Reguera', 'Omari Hardwick', 'Theo Rossi', 'Matthias Schweighöfer', 'Nora Arnezeder', 'Hiroyuki Sanada', 'Garret Dillahunt', 'Tig Notaro', 'Raúl Castillo', 'Huma Qureshi', 'Samantha Win', 'Richard Cetrone', 'Michael Cassidy', 'Steve Corona', 'Chelsea Edmundson', 'Zach Rose']",https://m.media-amazon.com/images/M/MV5BNGY0NzgzYzctYWQwMC00MzM2LThjNGMtZjFjMWUyNzg0ZmM0XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UX1000_.jpg
tt7255502,The Kominsky Method,3,18,2018,2021,22,30,tvSeries,United States,English,"An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.","Michael Douglas plays an actor who made it big a long time ago and who now is an acting coach at his studio named after himself, ""The Kominsky Method."" His best friend and agent loses his wife to cancer, which leaves both of them questioning their existence as they struggle through choices and relationships, old and new. As Kominsky teaches a class to actors he meets a woman whom he has deep feelings for, but lacks the skills to make a relationship work. Meanwhile his agent struggles with the pain of his wife's death and a drug addicted daughter. Throughout the series it becomes clear that their advanced age has challenges that neither one knows how to overcome, and as they keep onboard this train of life, which is closer to death then ever before, they learn to navigate their way through pain and character growth and set backs.",8.2,28795.0,"Comedy,Drama",0,"['Michael Douglas', 'Sarah Baker', 'Graham Rogers', 'Melissa Tang', 'Jenna Lyng Adams', 'Casey Thomas Brown', 'Alan Arkin', 'Nancy Travis', 'Lisa Edelstein', 'Emily Osment', 'Ashleigh LaThrop', 'Paul Reiser', 'Ramon Hilario', 'Susan Sullivan', 'Jane Seymour', 'Haley Joel Osment', 'Kathleen Turner', 'Cedric Begley']",https://m.media-amazon.com/images/M/MV5BMzA0YTNjOTAtNmVkZi00YjBkLTgyZDItOTFmMzQ0N2E4ZDNiXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UX1000_.jpg
tt0108778,Friends,4,13+,1994,2004,235,22,tvSeries,United States,English,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"Ross Geller, Rachel Green, Monica Geller, Joey Tribbiani, Chandler Bing, and Phoebe Buffay are six 20 something year olds living in New York City. Over the course of 10 years and seasons, these friends go through family, love, drama, friendship, and comedy.",8.9,861843.0,"Comedy,Romance",0,"['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc', 'Matthew Perry', 'David Schwimmer', 'James Michael Tyler', 'Elliott Gould', 'Christina Pickles', 'Maggie Wheeler', 'Paul Rudd', 'Jane Sibbett', 'Helen Baxendale', 'Jessica Hecht', 'June Gable', 'Tom Selleck', 'Aisha Tyler', 'Giovanni Ribisi']",https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMWRmZi00NTkxLTgwZWEtOWVhYjZlYjllYmU4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_FMjpg_UX1000_.jpg
tt9251798,Ragnarok,5,18,2020,,12,45,tvSeries,Norway,Norwegian,A small Norwegian town experiencing warm winters and violent downpours seems to be headed for another Ragnarok -- unless someone intervenes in time.,"In the small fictional town of Edda coming of age people are forced to respond to climate changes. The ice caps are melting at a rate no one had anticipated. People go through long periods of drought. The winters are too warm. More and more frequently, people experience extreme cold bursts. In all ways extreme weather conditions. The world is changing, and some might claim that we're heading towards a new Ragnarok. Unless someone intervenes in time.",7.5,26606.0,"Action,Drama,Fantasy",0,"['David Stakston', 'Jonas Strand Gravli', 'Herman Tømmeraas', 'Theresa Frostad Eggesbø', 'Synnøve Macody Lund', 'Henriette Steenstrup', 'Jeppe Beck Laursen', 'Emma Bones', 'Gísli Örn Garðarsson', 'Tani Dibasey', 'Kornelia Eline Skogseth', 'Odd-Magnus Williamson', 'Danu Sunth', 'Eli Anne Linnestad', 'Karoline Petronella Ulfsdatter Schau', 'Bjørn Sundquist', 'Rozerin Algunerhan', 'Iselin Shumba Skjævesland']",https://m.media-amazon.com/images/M/MV5BODM3NTZkZTUtYzEyYS00NjEyLTg2NjEtNDhlMjYwY2ZkNGUzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
tt5028002,StartUp,6,18,2016,2018,30,44,tvSeries,United States,English,"A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.","Miami - A desperate banker needs to conceal stolen money. A Haitian-American gang lord wants to go legit. A Cuban-American hacker has an idea that will revolutionize the very future of money itself. Forced to work together, they unwittingly create their version of the American dream - organized crime 2.0.",8.0,16980.0,"Crime,Thriller",0,"['Adam Brody', 'Edi Gathegi', 'Otmara Marrero', 'Kristen Ariza', 'Fredrick Bam Scott', 'Martin Freeman', 'Ron Perlman', 'Jared Wofford', 'Génesis Castro Díaz', 'Jevon White', 'Addison Timlin', 'Reina Hardesty', 'Tony Plana', 'Vera Cherny', 'Kelvin Harrison Jr.', 'Mira Sorvino', 'Aaron Yoo', 'Quinton DuBose']",https://m.media-amazon.com/images/M/MV5BMTAxNTIwNzE5MTJeQTJeQWpwZ15BbWU4MDE2NDQ2MTMy._V1_FMjpg_UX1000_.jpg
tt0413573,Grey's Anatomy,7,15+,2005,,381,41,tvSeries,United States,English,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,"A medical based drama centered around Meredith Grey, an aspiring surgeon and daughter of one of the best surgeons, Dr. Ellis Grey. Throughout the series, Meredith goes through professional and personal challenges along with fellow surgeons at Seattle Grace Hospital.",7.5,260703.0,"Drama,Romance",0,"['Ellen Pompeo', 'Chandra Wilson', 'James Pickens Jr.', 'Justin Chambers', 'Kevin McKidd', 'Jesse Williams', 'Bokhee An', 'Patrick Dempsey', 'Sara Ramirez', 'Jessica Capshaw', 'Sandra Oh', 'Camilla Luddington', 'Sarah Drew', 'Caterina Scorsone', 'Kelly McCreary', 'Eric Dane', 'Jason George', 'Giacomo Gianniotti']",https://m.media-amazon.com/images/M/MV5BMjgwNGNkZGYtMWQyYS00YjEzLWFmZTctODUzYWMxOWJkNTAzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg
tt12809988,Sweet Tooth,8,16,2021,,8,\N,tvSeries,United States,English,A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.,A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.,8.2,9622.0,"Action,Adventure,Drama",0,"['Nonso Anozie', 'Christian Convery', 'Stefania LaVie Owen', 'Dania Ramirez', 'James Brolin', 'Adeel Akhtar', 'Aliza Vellani', 'Naledi Murray', 'Will Forte', 'Alice May Connolly', 'Neil Sandilands', 'Dallas Barnett', 'Conan Hayes', 'Sarah Peirse', 'Jodie Rimmer', 'Amy Seimetz', 'Nixon Bingley', 'Ava Diakhaby']",https://m.media-amazon.com/images/M/MV5BOTk4ZDRhYzEtZWExNy00MjIyLTgyYmMtN2Y2MzA4YzZhZTZmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UX1000_.jpg
tt2741602,The Blacklist,9,16+,2013,,175,43,tvSeries,United States,English,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","A highly articulate, erudite and intelligent businessman and mastermind, ""Red"" Reddington, has allegedly been on the ""10 Most Wanted List"" of various U.S. law enforcement agencies for over 20 years. The legend is that Red is as elusive as he is clever, controlling a labyrinth of creative enterprises, coupled with uncanny ability to gather and finesse information at the drop of a hat. On the first day at FBI for a new female profiler fresh out of Quantico, Red offers to bandy wits with the FBI. Red promises to deliver various criminals and plots previously unknown to any branch of law enforcement... and all Red requests in return is to choose his muse. —LA-Lawyer",8.0,207174.0,"Crime,Drama,Mystery",0,"['James Spader', 'Megan Boone', 'Diego Klattenhoff', 'Ryan Eggold', 'Harry Lennix', 'Hisham Tawfiq', 'Amir Arison', 'Mozhan Marnò', 'Laura Sohn', 'Susan Blommaert', 'Baz', 'Parminder Nagra', 'Teddy Coluca', 'Genson Blimline', 'Deirdre Lovejoy', 'Emily Kell', 'Jonathan Holtzman', 'Katherine Kell']",https://m.media-amazon.com/images/M/MV5BZDA1MzE3M2EtNTE4Ni00OGE4LWE1NjctYzFhMzA2NDgxMDIxXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_FMjpg_UX1000_.jpg
tt5774002,Jupiter's Legacy,10,18,2021,2021,8,56,tvSeries,United States,English,"The first generation of superheroes has kept the world safe for nearly a century. Now their children must live up to their legacy in an epic drama that spans decades and navigates the dynamics of family, power and loyalt... Read all","The first generation of superheroes kept the world safe for 90 years. Now the years are different, the world is changing and the enemies are getting stronger. It is time for the new generation of superheroes to accept the legacy of their fathers and to continue their work based on morality and justice. —Cinemoviez",6.8,27309.0,"Action,Adventure,Drama",0,"['Josh Duhamel', 'Ben Daniels', 'Leslie Bibb', 'Andrew Horton', 'Elena Kampouris', 'Mike Wade', 'Matt Lanter', 'Richard Blackburn', 'David Julian Hirsh', 'Tyler Mane', 'Meg Steedle', 'Ian Quinlan', 'Tenika Davis', 'Gracie Dzienny', 'Conrad Coates', 'Aiza Ntibarikure', 'Tyrone Benskin', 'Kurtwood Smith']",https://m.media-amazon.com/images/M/MV5BMDU4MWViOGItZGJjYi00YjczLTk1YmMtY2ZmNmY4YTllNDA0XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UX1000_.jpg
